TEAM_ID,GAME_ID,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
1610612737,0021900215,240,38,88,0.432,10,37,0.27,17,17,1.0,10,24,34,26,12,2,19,18,103,98.58346094946401,13.0,10.0,42.0,1610612765,98.58346094946401,104.48,100.64,96.8
1610612737,0021900204,240,44,96,0.458,14,31,0.452,25,31,0.806,9,34,43,27,8,2,13,26,127,111.75642379443858,6.0,8.0,46.0,1610612749,111.75642379443858,113.64,113.30000000000001,112.96
1610612737,0021900188,240,37,86,0.43,8,28,0.286,19,25,0.76,9,28,37,16,11,2,18,19,101,95.28301886792453,10.0,14.0,42.0,1610612747,95.28301886792453,106.0,104.02000000000002,102.04
1610612737,0021900182,240,34,90,0.378,6,24,0.25,27,37,0.73,14,24,38,19,11,10,19,27,101,90.76204169662113,10.0,12.0,53.0,1610612746,90.76204169662113,111.28000000000002,113.33999999999999,115.40000000000002
1610612737,0021900165,240,40,91,0.44,8,31,0.258,24,30,0.8,15,34,49,25,15,5,22,31,112,100.71942446043165,6.0,2.0,39.0,1610612756,100.71942446043165,111.2,112.96,114.71999999999998
1610612737,0021900150,240,44,83,0.53,15,34,0.441,22,34,0.647,10,35,45,30,1,5,14,21,125,122.59709690074538,7.0,5.0,40.0,1610612743,122.59709690074538,101.96,101.82000000000001,101.68
1610612737,0021900138,265,42,104,0.404,11,41,0.268,18,25,0.72,11,37,48,21,11,8,16,26,113,94.16666666666667,10.0,9.0,61.0,1610612757,94.16666666666667,120.0,118.66000000000001,117.32
1610612737,0021900119,240,46,87,0.529,9,28,0.321,8,14,0.571,11,23,34,23,8,6,12,19,109,115.76040781648258,7.0,7.0,36.0,1610612758,115.76040781648258,94.16000000000001,92.42,90.68
1610612737,0021900105,240,30,74,0.405,6,30,0.2,27,35,0.771,6,35,41,18,7,3,24,26,93,86.59217877094972,11.0,9.0,43.0,1610612741,86.59217877094972,107.40000000000002,105.64,103.88
1610612737,0021900099,240,43,90,0.478,11,30,0.367,11,16,0.688,9,39,48,22,9,5,18,20,108,101.84835910976989,9.0,8.0,41.0,1610612759,101.84835910976989,106.04,105.58,105.12
1610612737,0021900066,240,36,88,0.409,7,34,0.206,18,26,0.692,16,34,50,20,5,5,16,15,97,97.54625905068383,12.0,9.0,41.0,1610612748,97.54625905068383,99.44,97.90000000000002,96.36
1610612737,0021900052,240,35,83,0.422,11,39,0.282,16,24,0.667,9,24,33,28,14,7,20,29,97,92.76970160673298,11.0,6.0,49.0,1610612748,92.76970160673298,104.56,105.18,105.8
1610612737,0021900043,240,36,84,0.429,9,27,0.333,22,32,0.688,8,37,45,23,12,3,21,25,103,92.72596326971552,12.0,11.0,49.0,1610612755,92.72596326971552,111.08,109.54,108.0
1610612737,0021900028,240,43,84,0.512,9,30,0.3,8,15,0.533,9,43,52,22,5,9,18,26,103,103.4136546184739,8.0,7.0,46.0,1610612753,103.4136546184739,99.59999999999998,101.52,103.44
1610612737,0021900014,240,44,86,0.512,11,31,0.355,18,21,0.857,8,34,42,27,9,2,13,15,117,116.7198723064645,6.0,5.0,39.0,1610612765,116.7198723064645,100.24,99.46,98.68
1610612738,0021901308,240,35,88,0.398,8,35,0.229,12,14,0.857,13,38,51,22,8,7,18,19,90,90.76240419524002,11.0,6.0,56.0,1610612764,90.76240419524002,99.16000000000001,98.86,98.56
1610612738,0021901301,240,44,86,0.512,16,37,0.432,18,23,0.783,10,36,46,29,7,7,12,27,122,124.33754586220954,8.0,4.0,44.0,1610612763,124.33754586220954,98.12,98.92,99.71999999999998
1610612738,0021901288,265,45,102,0.441,12,40,0.3,20,24,0.833,13,41,54,32,9,7,12,19,122,109.35819290068125,7.0,4.0,52.0,1610612753,109.35819290068125,111.56,113.0,114.44
1610612738,0021901279,240,47,96,0.49,16,46,0.348,12,16,0.75,9,43,52,27,8,2,14,22,122,112.92114031840059,8.0,7.0,48.0,1610612761,112.92114031840059,108.04,106.26,104.48
1610612738,0021901267,240,50,88,0.568,20,39,0.513,29,35,0.829,6,37,43,29,10,10,14,23,149,133.75224416517057,9.0,2.0,34.0,1610612751,133.75224416517057,111.40000000000002,112.82,114.24
1610612738,0021901260,240,37,85,0.435,10,33,0.303,22,27,0.815,14,31,45,15,7,4,16,26,106,107.20064724919094,8.0,5.0,42.0,1610612748,107.20064724919094,98.88,96.52,94.16000000000001
1610612738,0021901245,240,42,77,0.545,18,30,0.6,26,34,0.765,6,30,36,24,9,6,14,21,128,128.05122048819527,8.0,5.0,35.0,1610612757,128.05122048819527,99.96,100.0,100.04
1610612738,0021901236,240,37,91,0.407,11,37,0.297,27,34,0.794,14,34,48,18,8,5,15,28,112,104.71204188481676,9.0,7.0,47.0,1610612749,104.71204188481676,106.96,106.96,106.96
1610612738,0021900960,240,41,93,0.441,13,37,0.351,19,22,0.864,11,35,46,19,9,4,8,15,114,114.36597110754414,5.0,8.0,43.0,1610612754,114.36597110754414,99.68,99.76,99.83999999999999
1610612738,0021900949,240,38,92,0.413,13,37,0.351,15,19,0.789,11,35,46,22,9,5,13,25,104,101.60218835482611,9.0,7.0,39.0,1610612760,101.60218835482611,102.36,104.16000000000001,105.96
1610612738,0021900933,240,35,94,0.372,10,36,0.278,14,18,0.778,13,32,45,19,6,6,12,13,94,93.14308363059848,8.0,7.0,40.0,1610612762,93.14308363059848,100.92,98.09999999999998,95.28000000000002
1610612738,0021900917,240,40,86,0.465,11,30,0.367,21,26,0.808,13,36,49,16,10,7,11,20,112,117.3512154233026,6.0,2.0,50.0,1610612739,117.3512154233026,95.44,94.12,92.8
1610612738,0021900910,265,44,103,0.427,15,49,0.306,17,23,0.739,13,29,42,24,10,6,15,30,120,104.23905489923557,7.0,6.0,63.0,1610612751,104.23905489923557,115.12,114.92,114.71999999999998
1610612738,0021900892,265,39,100,0.39,13,42,0.31,19,25,0.76,14,40,54,22,11,6,14,18,110,99.09909909909909,10.0,8.0,53.0,1610612745,99.09909909909909,111.0,110.46,109.92
1610612738,0021900872,240,45,84,0.536,11,26,0.423,13,16,0.813,9,35,44,21,7,4,8,17,114,126.61039537983119,5.0,3.0,41.0,1610612762,126.61039537983119,90.04,90.82,91.59999999999998
1610612738,0021900862,240,43,90,0.478,19,39,0.487,13,14,0.929,8,37,45,19,6,3,14,19,118,115.50509005481598,8.0,4.0,41.0,1610612757,115.50509005481598,102.16000000000001,103.14,104.12
1610612738,0021900842,240,38,83,0.458,13,34,0.382,23,30,0.767,8,36,44,20,7,3,17,29,112,106.4638783269962,9.0,4.0,46.0,1610612747,106.4638783269962,105.2,104.74000000000001,104.28000000000002
1610612738,0021900830,240,44,95,0.463,10,29,0.345,29,37,0.784,16,42,58,21,5,6,10,26,127,120.6306990881459,8.0,10.0,43.0,1610612750,120.6306990881459,105.28000000000002,104.83999999999999,104.40000000000002
1610612738,0021900818,290,45,103,0.437,18,43,0.419,33,40,0.825,7,44,51,22,9,6,14,28,141,110.50156739811914,4.0,10.0,55.0,1610612746,110.50156739811914,127.59999999999998,127.44,127.28000000000002
1610612738,0021900806,240,37,85,0.435,11,32,0.344,20,25,0.8,10,38,48,24,11,4,18,26,105,100.96153846153845,9.0,6.0,45.0,1610612745,100.96153846153845,104.0,104.24000000000001,104.48
1610612738,0021900786,240,38,84,0.452,16,36,0.444,20,27,0.741,14,39,53,19,6,2,9,24,112,123.23943661971832,3.0,3.0,44.0,1610612760,123.23943661971832,90.88,93.82,96.76
1610612738,0021900771,240,37,86,0.43,16,37,0.432,22,27,0.815,11,36,47,23,5,8,13,18,112,112.13456147376853,7.0,8.0,46.0,1610612737,112.13456147376853,99.88,99.66000000000001,99.44
1610612738,0021900756,240,46,86,0.535,13,23,0.565,11,16,0.688,6,35,41,23,10,6,12,19,116,117.124394184168,10.0,6.0,39.0,1610612753,117.124394184168,99.04,97.62,96.2
1610612738,0021900745,240,48,90,0.533,12,29,0.414,15,17,0.882,11,33,44,21,10,5,15,22,123,121.20614899487583,9.0,6.0,32.0,1610612737,121.20614899487583,101.48,102.86,104.24
1610612738,0021900732,240,38,80,0.475,8,30,0.267,32,41,0.78,9,33,42,15,9,2,10,20,116,117.12439418416803,6.0,3.0,47.0,1610612755,117.12439418416803,99.04,98.83999999999999,98.64
1610612738,0021900717,240,42,88,0.477,15,35,0.429,20,22,0.909,14,37,51,27,12,4,22,24,119,112.60408781226343,11.0,6.0,30.0,1610612744,112.60408781226343,105.68,104.44,103.2
1610612738,0021900701,240,39,83,0.47,13,36,0.361,18,24,0.75,11,37,48,24,5,8,14,22,109,112.88318144159071,11.0,2.0,45.0,1610612748,112.88318144159071,96.56,99.09999999999998,101.64
1610612738,0021900691,240,41,89,0.461,8,33,0.242,18,22,0.818,7,30,37,21,6,5,16,29,108,100.29717682020802,7.0,5.0,54.0,1610612740,100.29717682020802,107.68,106.21999999999998,104.76
1610612738,0021900671,240,40,86,0.465,14,35,0.4,15,18,0.833,9,35,44,27,10,7,13,20,109,111.31535947712419,5.0,1.0,46.0,1610612753,111.31535947712419,97.92,98.64,99.36
1610612738,0021900657,240,45,89,0.506,14,32,0.438,15,20,0.75,9,35,44,32,11,9,9,14,119,121.67689161554192,7.0,8.0,40.0,1610612763,121.67689161554192,97.8,100.19999999999999,102.59999999999998
1610612738,0021900648,240,52,93,0.559,16,34,0.471,19,29,0.655,14,34,48,31,10,5,12,26,139,133.96299151888974,5.0,8.0,36.0,1610612747,133.96299151888974,103.76,104.26,104.76
1610612738,0021900628,240,42,96,0.438,15,42,0.357,20,22,0.909,4,35,39,26,11,6,11,24,119,105.60880369187078,6.0,6.0,52.0,1610612756,105.60880369187078,112.68,109.94,107.2
1610612738,0021900615,240,43,98,0.439,15,49,0.306,22,27,0.815,10,33,43,16,4,7,7,25,123,115.0823353293413,6.0,6.0,50.0,1610612749,115.0823353293413,106.88,106.58,106.28000000000002
1610612738,0021900604,240,41,83,0.494,9,28,0.321,12,20,0.6,13,31,44,21,7,2,15,17,103,109.80810234541578,8.0,4.0,34.0,1610612765,109.80810234541578,93.8,94.08,94.36
1610612738,0021900593,240,39,83,0.47,9,23,0.391,26,29,0.897,10,33,43,28,7,6,12,19,113,115.58919803600654,5.0,5.0,38.0,1610612741,115.58919803600654,97.76,98.59999999999998,99.44
1610612738,0021900578,240,55,100,0.55,14,29,0.483,16,18,0.889,10,43,53,29,14,3,10,23,140,129.72572275759822,4.0,6.0,43.0,1610612740,129.72572275759822,107.92,108.42,108.92
1610612738,0021900564,240,38,88,0.432,14,36,0.389,8,8,1.0,8,30,38,17,8,1,14,16,98,100.49220672682526,6.0,5.0,48.0,1610612755,100.49220672682526,97.52,96.0,94.48
1610612738,0021900554,240,37,89,0.416,13,38,0.342,27,30,0.9,8,31,39,26,7,2,15,20,114,104.39560439560441,9.0,6.0,49.0,1610612759,104.39560439560441,109.2,106.82,104.44
1610612738,0021900542,240,33,95,0.347,8,37,0.216,20,26,0.769,16,39,55,17,7,8,16,20,94,88.31266441187525,8.0,9.0,47.0,1610612764,88.31266441187525,106.44,103.78000000000002,101.12
1610612738,0021900529,240,43,82,0.524,8,19,0.421,17,21,0.81,13,31,44,22,10,5,19,22,111,114.15055532702591,15.0,5.0,37.0,1610612741,114.15055532702591,97.24,97.44,97.64
1610612738,0021900517,240,41,93,0.441,6,25,0.24,21,29,0.724,12,42,54,23,9,7,12,16,109,103.06354009077154,6.0,5.0,42.0,1610612737,103.06354009077154,105.76,106.68,107.59999999999998
1610612738,0021900497,240,44,97,0.454,14,38,0.368,7,10,0.7,15,39,54,25,12,9,10,16,109,113.07053941908714,7.0,4.0,41.0,1610612766,113.07053941908714,96.40000000000002,99.21999999999998,102.04
1610612738,0021900473,240,31,78,0.397,7,32,0.219,28,36,0.778,7,24,31,18,11,4,14,17,97,96.19198730662436,8.0,3.0,53.0,1610612761,96.19198730662436,100.83999999999999,99.66000000000001,98.48
1610612738,0021900466,240,49,95,0.516,14,40,0.35,17,19,0.895,12,31,43,28,4,10,11,23,129,126.02579132473623,7.0,3.0,38.0,1610612739,126.02579132473623,102.36,102.56,102.76
